"date","spread","selic","pib_mensal","inad","igp","prod_ind","ihh"
2012-07-01,3.18511219471539,2.08815348228186,12.9369615614794,1.69193913394584,19.7827930649685,-1.50801131008482,1405
2012-08-01,3.15997471694804,2.06051353179432,12.949741585421,1.70474809223843,16.6604878420034,0.631768953068601,1405
2012-09-01,3.15188095604392,2.00012773496011,12.884958363147,1.69561560867515,11.0881261335594,-1.33587786259541,1419
2012-10-01,3.13418901670101,1.97823903617067,12.9560922407029,1.69927861643389,-3.71290282440302,5.17403574788335,1419
2012-11-01,3.12851338478781,1.96571277635149,12.9586526792087,1.67896397508271,3.04939230952752,0.575815738963525,1419
2012-12-01,3.06944731137627,1.96850998097255,12.957044767751,1.66392609771817,8.19862317455575,-3.65726227795193,1465
2013-01-01,3.10054263790634,1.96150224381515,12.9350306456201,1.66581824587021,3.75158328365517,6.53889515219841,1465
2013-02-01,3.11662159082944,1.96290772542388,12.8969828258698,1.65632149833295,2.40796562667607,-1.89309576837416,1465
2013-03-01,3.08648663682246,1.96711235670592,12.9667181813438,1.63315443905142,3.72254605164082,-2.00601805416248,1474
2013-04-01,3.09013294897548,1.9823798288367,12.9932792239928,1.63315443905142,-0.679030485378707,9.69827586206897,1474
2013-05-01,3.07176695982999,2.00417905717929,12.9937537956303,1.63899671467564,3.92135465233612,2.4390243902439,1474
2013-06-01,3.03927057556847,2.06686275947298,13.0024023466376,1.5830939370945,9.55403228378113,3.4587995930824,1516
2013-07-01,3.07361881221106,2.10778601468898,13.0380643912817,1.5830939370945,1.68672726523422,3.34928229665072,1516
2013-08-01,3.07454345397828,2.13416644136908,13.0263424450753,1.56234630490025,5.69565831887349,0.448430493273544,1516
2013-09-01,3.0777729838902,2.18605127673809,12.9952831313152,1.55392520250384,17.567149787518,3.77176015473888,1540
2013-10-01,3.10144272797611,2.22462355152433,13.0573436738504,1.53255686809814,7.78585117188852,0.715563506261185,1540
2013-11-01,3.09874002362822,2.24601474150565,13.0568626868635,1.50407739677627,3.37293414150366,1.24045801526718,1540
2013-12-01,3.06479180948549,2.29253475714054,13.0741293985352,1.48160454092422,8.5887776352477,-2.27765726681128,1566
